frame_idx,id,label,confidence,x1,y1,x2,y2,center_x,unity_x,unity_z
749,4,Person,0.161,86.9,756.1,262.7,1181.8,174.8,-2.71,7.97
752,1,Bollard,0.174,312.8,900.8,359.7,1030.2,336.2,-1.51,8.87
753,1,Bollard,0.225,324.3,904.9,365.6,1021.4,345.0,-1.44,8.92
754,1,Person,0.163,123.0,759.5,295.9,1182.2,209.5,-2.45,7.96
754,2,Bollard,0.128,128.0,783.9,294.0,1181.4,211.0,-2.44,7.97
755,1,Person,0.42,143.0,761.8,304.4,1169.3,223.7,-2.34,8.04
755,2,Bollard,0.167,349.6,878.2,400.0,999.0,374.8,-1.22,9.05
756,69,Person,0.369,147.6,769.6,305.7,1168.9,226.6,-2.32,8.04
757,69,Person,0.258,155.7,766.3,311.7,1160.3,233.7,-2.27,8.09
758,1,Bollard,0.248,372.9,855.7,416.4,984.4,394.6,-1.08,9.14
759,1,Bollard,0.17,378.4,850.1,422.2,978.6,400.3,-1.03,9.18
762,69,Person,0.455,195.5,695.8,357.4,1105.7,276.5,-1.95,8.42
763,69,Person,0.418,206.1,705.7,366.5,1111.5,286.3,-1.88,8.38
764,69,Person,0.545,205.7,721.2,366.4,1127.8,286.1,-1.88,8.29
765,69,Person,0.128,201.1,737.0,359.2,1137.3,280.1,-1.92,8.23
766,69,Bollard,0.14,218.3,838.4,338.7,1133.8,278.5,-1.94,8.25
767,1,Person,0.19,201.8,726.4,360.6,1135.1,281.2,-1.92,8.24
768,1,Person,0.147,214.1,737.5,370.6,1136.1,292.4,-1.83,8.24
768,2,Bollard,0.134,414.7,864.4,460.5,1001.7,437.6,-0.76,9.04
768,3,Bollard,0.102,224.9,857.8,358.8,1136.2,291.8,-1.84,8.24
769,1,Bollard,0.15,226.5,871.8,351.3,1129.5,288.9,-1.86,8.28
770,1,Person,0.193,200.1,716.8,354.3,1126.1,277.2,-1.95,8.3
770,2,Bollard,0.123,208.2,769.4,340.3,1126.7,274.2,-1.97,8.29
771,1,Bollard,0.384,372.6,845.5,423.4,984.7,398.0,-1.05,9.14
771,2,Bollard,0.111,173.2,848.0,309.2,1132.4,241.2,-2.21,8.26
772,1,Person,0.199,150.4,739.7,305.6,1133.3,228.0,-2.31,8.25
772,2,Bollard,0.128,352.0,851.1,400.8,988.3,376.4,-1.21,9.12
773,1,Person,0.122,140.1,726.5,297.0,1130.6,218.5,-2.38,8.27
774,1,Person,0.24,130.6,719.4,290.7,1132.5,210.7,-2.44,8.26
774,2,Bollard,0.223,327.4,838.0,377.7,989.9,352.6,-1.39,9.11
775,1,Bollard,0.306,310.6,849.0,362.5,988.9,336.6,-1.51,9.11
775,2,Person,0.129,110.6,725.3,270.9,1124.8,190.8,-2.59,8.3
776,1,Person,0.334,99.3,720.9,252.2,1122.7,175.8,-2.7,8.32
777,1,Person,0.29,89.3,712.8,244.7,1113.6,167.0,-2.76,8.37
778,79,Person,0.37,83.8,718.8,236.5,1112.3,160.1,-2.81,8.38
779,79,Person,0.437,77.0,706.5,234.9,1113.3,156.0,-2.84,8.37
780,1,Bollard,0.226,267.0,855.7,319.4,997.3,293.2,-1.83,9.06
781,1,Bollard,0.415,247.4,879.9,299.8,1004.0,273.6,-1.97,9.02
781,2,Bollard,0.205,539.9,854.6,591.7,1002.4,565.8,0.19,9.03
782,1,Bollard,0.339,239.1,883.6,292.4,1023.4,265.7,-2.03,8.91
782,2,Bollard,0.228,47.2,745.0,195.4,1140.1,121.3,-3.1,8.21
782,3,Person,0.113,42.9,731.4,198.8,1140.5,120.8,-3.1,8.21
783,1,Bollard,0.368,246.5,914.3,294.9,1037.6,270.7,-1.99,8.82
783,2,Bollard,0.228,55.0,831.3,198.5,1157.4,126.7,-3.06,8.11
784,85,Bollard,0.447,250.8,911.4,301.6,1040.7,276.2,-1.95,8.81
785,85,Bollard,0.61,249.7,884.0,304.2,1022.9,276.9,-1.95,8.91
786,85,Bollard,0.429,245.7,876.6,297.9,1009.2,271.8,-1.99,8.99
787,85,Bollard,0.404,235.3,862.0,295.2,1015.2,265.3,-2.04,8.96
787,79,Person,0.527,40.4,740.8,197.5,1145.0,118.9,-3.12,8.18
788,1,Bollard,0.336,249.6,887.3,301.6,1036.9,275.6,-1.96,8.83
792,1,Person,0.126,79.5,753.2,244.1,1146.0,161.8,-2.8,8.18
794,1,Bollard,0.284,323.0,868.1,374.2,1009.0,348.6,-1.42,8.99
798,1,Bollard,0.113,368.4,864.6,419.7,1001.9,394.0,-1.08,9.04
799,1,Bollard,0.267,379.9,877.7,434.8,1013.3,407.4,-0.98,8.97
799,2,Bollard,0.139,918.3,855.7,1035.4,1377.7,976.9,3.24,6.8
800,1,Bollard,0.237,378.5,883.1,431.9,1016.9,405.2,-1.0,8.95
800,2,Bollard,0.123,922.2,980.5,1036.5,1387.2,979.4,3.25,6.74
804,1,Bollard,0.255,397.1,890.3,450.3,1036.7,423.7,-0.86,8.83
805,1,Bollard,0.223,405.2,878.1,459.7,1031.6,432.4,-0.8,8.86
807,1,Bollard,0.186,381.2,905.8,433.3,1048.9,407.3,-0.98,8.76
808,1,Bollard,0.441,370.3,892.2,425.6,1053.8,397.9,-1.05,8.73
808,2,Bollard,0.103,689.1,904.5,753.2,1065.8,721.2,1.34,8.66
809,1,Bollard,0.101,357.2,898.4,409.2,1046.0,383.2,-1.16,8.77
810,1,Bollard,0.273,333.9,869.0,391.4,1040.9,362.7,-1.31,8.8
810,2,Bollard,0.245,659.9,879.9,724.6,1044.5,692.2,1.13,8.78
811,1,Bollard,0.422,309.6,872.7,363.1,1031.9,336.3,-1.51,8.86
811,2,Bollard,0.193,919.4,1078.3,1037.8,1456.3,978.6,3.25,6.33
812,1,Bollard,0.131,299.4,867.2,353.3,1013.8,326.4,-1.58,8.97
